salary,companyNature,minSalary,workYear,companySize,companyUrl,companyName,jobName,location,edu,maxSalary,jobUrl,deatil
8000-16000,股份制企业,8000,,10000人以上,http://company.zhaopin.com/P7/CC0000/5046/D902/500/CC000050468D90250000000.htm,TCL多媒体,IT制造系统部-,惠州,本科,16000,http://jobs.zhaopin.com/CC000050468J00120161407.htm,    岗位职责 :    1 、根据业务需求进行设计、开发、系统测试等工作；     2 、对上线系统提供技术支持与优化，保障系统稳健运行；     3 、维护数据库，监控、优化数据库性能；           任职要求：     1 、计算机相关大学本科及以上学历，从事  
6000-9000,民营,6000,1-3年,20-99人,http://company.zhaopin.com/CZ235872580.htm,惠州市行讯网络服务有限公司,程序员（周末双休）,惠州,大专,9000,http://jobs.zhaopin.com/CC235872589J00112436501.htm,...
10000-20000,上市公司,10000,3-5年,500-999人,http://special.zhaopin.com/sh/2009/zhanxin031617/index.htm,展讯通信(上海)有限公司,高级工具开发工程师(C#/ASP,惠州,本科,20000,http://jobs.zhaopin.com/CC000536366J00101121505.htm, 岗位职责： 1.负责公司B/S架构项目方案的设计、开发及维护； 2.负责客户定制化需求开发及维护。 任职要求： 1.本科以上学历，电子、通信、计算机相关专业，英语四级及以上； 2.3年或以上Asp
10001-15000,合资,10001,1-3年,100-499人,http://company.zhaopin.com/%E5%8C%97%E4%BA%AC%E6%80%9D%E8%BF%AA%E5%BA%B7%E6%B3%B0%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC361398527.htm,北京思迪康泰科技有限公司,开发（WebForm）,惠州,本科,15000,http://jobs.zhaopin.com/361398527250879.htm,  岗位职责：  1.参与公司现有产品及平台的升级，按照需求完成网站开发和维护工作。  2.负责ASP
9000-15000,民营,9000,3-5年,20-99人,http://company.zhaopin.com/CZ637369980.htm,厦门唐普信息技术有限公司,中级,惠州,本科,15000,http://jobs.zhaopin.com/CZ637369980J00076559507.htm,  职位要求：  （1）计算机及相关专业  全日制统招本科  及以上学历，  4-6年  
6000-12000,股份制企业,6000,,1000-9999人,http://company.zhaopin.com/CC000050468D90250079000.htm,惠州酷友网络科技有限公司,开发工程师,惠州,大专,12000,http://jobs.zhaopin.com/000050468265442.htm,  岗位职责： 1、系统开发，代码维护、优化、升级； 2、数据库优化：业务逻辑优化，SQL语句优化；数据迁移备份；数据库编程；  任职要求： 1、大专及以上学历，计算机专业；3年以上
10001-15000,民营,10001,3-5年,20-99人,http://company.zhaopin.com/CC415546224.htm,惠州市飞讯软件服务有限公司,C#、ASP,惠州,本科,15000,http://jobs.zhaopin.com/CC415546224J00077963307.htm,   岗位职责：    1、与团队合作，按时保质完成上级交给的软件开发项目；    2、负责编写开发文档、产品设计思路；    3、根据软件需求制定相关技术与产品的解决方案。     任职资格：    1、计算机及相关专业本科以上毕业，有1年以上C#、ASP
9000-18000,外商独资,9000,,100-499人,http://company.zhaopin.com/CC263044136.htm,惠州市福莱思电子工程有限公司,高级软件工程师,惠州,本科,18000,http://jobs.zhaopin.com/CZ263044130J00145620201.htm,  岗位职责：  需要软件工程师能熟悉进行蓝牙软件和单片机软件代码进行设计编写，负责CSR8670， QCC3000X 和 BES2000X 系列蓝牙软件设计， 负责部分单片机软件设计  1.	五年以上蓝牙或单片机软件开发经验，熟悉掌握CSR/Broadcom软件开发工具。  2.	对蓝牙Core ...
8000-12000,民营,8000,,100-499人,http://company.zhaopin.com/CC301221682.htm,深圳虎翼出入境服务有限公司,net工程师,惠州,不限,12000,http://jobs.zhaopin.com/CC301221682J00170719601.htm,...
4000-8000,民营,4000,,20-99人,http://company.zhaopin.com/CC348343686.htm,惠州蓝媒物联有限公司,NET初级程序员,惠州,大专,8000,http://jobs.zhaopin.com/348343686250003.htm,    岗位职责：     1.   根据项目需求参与项目设计及项目核心代码的开发；     2.   书写开发过程所需的技术文档;     3.   与其他开发人员通力合作顺利完成开发任务；     4.   负责项目后续的技术支持;      任职要求：     1.   计算机相关专业，熟悉 ...
